Degree Name,Link
Architectural Engineering Major - Bachelor of Engineering (Honours),https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-engineering-honours%2Farchitectural-engineering-major&auth=m33AxrJo9OXIoHp7BkRcDg&profile=_default&rank=44&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Visual Arts Te Tohu Paetahi mō Toi Ataata,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fart-and-design%2Fcourses%2Fbachelor-of-visual-arts&auth=zHpUcIJzRmzoPm%2BBAaIhSA&profile=_default&rank=45&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Certificate in Sport and Recreation,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fsport-and-recreation%2Fcourses%2Fcertificate-in-sport-and-recreation&auth=Ab4oknaDUt1yZQ52bCPOgg&profile=_default&rank=46&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Health Management Major - Bachelor of Health Science,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fbachelor-of-health-science%2Fhealth-management-major&auth=IbyTb9%2Fc4Db%2FTthmH18VFA&profile=_default&rank=47&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Māori Health - Postgraduate Certificate in Health Science,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fpostgraduate-certificate-in-health-science%2Fmaori-health&auth=mAh15qWmgvpcMIzO1FQr1g&profile=_default&rank=48&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Māori Development Specialisation - Master of Arts,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fmaster-of-arts%2Fmaori-development&auth=r3N%2BJI5lBoJJkhCfqPAl8A&profile=_default&rank=49&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
International Hospitality Management - Bachelor of Arts (Honours),https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-arts-honours%2Finternational-hospitality-management-bachelor-of-arts-honours&auth=OLSEV%2FCrjVgDT%2B02AI4O4Q&profile=_default&rank=50&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Violence and Trauma Studies - Master of Health Practice,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fmaster-of-health-practice%2Fviolence-and-trauma-studies&auth=IiyMlr%2BGU0KrYAiydQB4VQ&profile=_default&rank=51&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Diploma in Arts,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fpostgraduate-diploma-in-arts&auth=dGLPMI7zSBJvNfJW%2F8gspQ&profile=_default&rank=52&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Diploma in Culinary Arts,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhospitality-tourism-and-events%2Fcourses%2Fdiploma-in-culinary-arts&auth=bjplnJy89BABCVQY1Glbvw&profile=_default&rank=53&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
